City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Pevek,RU,69.7008,170.3133,47.39,65,26,9.08,scattered clouds
79,Ninotsminda,GE,41.2646,43.5916,51.35,84,27,5.03,scattered clouds
80,College,US,64.8569,-147.8028,77.0,38,100,4.61,overcast clouds
81,Itumbiara,BR,-18.4192,-49.2153,71.06,46,0,2.89,clear sky
82,Kez,RU,57.8979,53.7152,57.33,80,14,2.28,few clouds
83,Wilmington,US,34.2257,-77.9447,82.31,86,0,3.44,clear sky
84,Laurel,US,39.0993,-76.8483,82.9,70,0,4.61,clear sky
85,Kununurra,AU,-15.7667,128.7333,75.18,41,10,5.75,clear sky
86,Arraial Do Cabo,BR,-22.9661,-42.0278,67.19,67,5,14.79,clear sky
87,Malanje,AO,-9.5402,16.341,61.16,79,0,4.59,clear sky
88,Amguri,IN,26.8,94.5333,79.52,90,94,3.06,overcast clouds
89,Hobart,AU,-42.8794,147.3294,51.66,75,75,5.75,light rain
90,Bengkulu,ID,-3.8004,102.2655,76.78,86,94,3.87,overcast clouds
91,Moss Point,US,30.4116,-88.5345,87.82,75,0,0.0,clear sky
92,Berlevag,NO,70.8578,29.0864,50.0,100,100,16.11,mist
93,Nikolskoye,RU,59.7035,30.7861,55.8,97,4,4.72,clear sky
94,Sitka,US,57.0531,-135.33,60.69,88,100,0.0,light intensity drizzle
95,Batemans Bay,AU,-35.7167,150.1833,58.78,46,100,7.61,overcast clouds
96,Asfi,MA,32.2994,-9.2372,74.44,70,0,11.9,clear sky
97,Saint-Pierre,RE,-21.3393,55.4781,71.19,72,20,6.91,few clouds
98,Roma,US,43.2128,-75.4557,69.94,77,0,6.91,clear sky
99,Pasni,PK,25.2631,63.471,81.27,83,100,11.07,overcast clouds
100,Samarai,PG,-10.6167,150.6667,80.8,80,2,11.23,clear sky
101,Mwinilunga,ZM,-11.7358,24.4293,56.21,46,4,1.23,clear sky
102,Bluff,NZ,-46.6,168.3333,47.44,75,54,15.97,broken clouds
103,Ilulissat,GL,69.2167,-51.1,51.82,71,100,12.66,overcast clouds
104,Sao Filipe,CV,14.8961,-24.4956,77.68,79,100,6.91,overcast clouds
105,Campos Altos,BR,-19.6961,-46.1714,60.3,55,0,3.74,clear sky
106,Udachnyy,RU,66.4167,112.4,72.1,65,61,4.09,broken clouds
107,Hofn,IS,64.2539,-15.2082,49.73,58,63,10.4,broken clouds
108,Fairbanks,US,64.8378,-147.7164,77.02,37,20,4.61,few clouds
109,Jamestown,US,42.097,-79.2353,71.24,64,0,5.75,clear sky
110,Lorengau,PG,-2.0226,147.2712,83.8,69,100,10.13,overcast clouds
111,Elizabeth City,US,36.2946,-76.2511,80.62,73,0,5.75,clear sky
112,Dayong,CN,25.0209,118.2898,87.62,66,0,2.15,clear sky
113,Baglung,NP,28.2719,83.5898,71.56,95,100,0.18,overcast clouds
114,Khatanga,RU,71.9667,102.5,45.88,91,100,11.79,moderate rain
115,Madimba,TZ,-10.4,40.3333,69.26,90,2,3.18,clear sky
116,Gigmoto,PH,13.7796,124.39,84.02,78,100,10.51,overcast clouds
117,Kodiak,US,57.79,-152.4072,62.11,77,100,9.22,overcast clouds
118,Kristianstad,SE,56.0313,14.1524,56.95,96,100,1.01,fog
119,Las Cruces,US,32.3123,-106.7783,95.38,26,75,10.36,broken clouds
120,Ulladulla,AU,-35.35,150.4667,57.56,48,100,8.01,overcast clouds
121,Husavik,IS,66.0449,-17.3389,42.76,93,100,19.69,overcast clouds
122,Souillac,MU,-20.5167,57.5167,68.38,88,75,13.8,light rain
123,New Norfolk,AU,-42.7826,147.0587,51.89,59,100,6.96,light rain
124,Dikson,RU,73.5069,80.5464,41.36,94,100,9.69,overcast clouds
125,Rensvik,NO,63.1,7.8167,59.27,88,100,6.91,light rain
126,Kattivakkam,IN,13.2167,80.3167,83.07,87,72,9.13,broken clouds
127,Lufilufi,WS,-13.8745,-171.5986,87.58,80,23,19.75,light rain
128,Fort Madison,US,40.6298,-91.3151,81.21,53,100,3.44,overcast clouds
129,Chokurdakh,RU,70.6333,147.9167,66.94,45,2,6.08,clear sky
130,Cascais,PT,38.6979,-9.4215,78.51,63,0,3.0,clear sky
131,Vaini,TO,-21.2,-175.2,80.76,83,40,11.5,scattered clouds
132,Inhambane,MZ,-23.865,35.3833,64.29,86,0,6.4,clear sky
133,Dongli,CN,23.5656,116.8194,87.78,79,0,0.0,mist
134,Mazatlan,MX,23.2167,-106.4167,88.92,82,22,5.01,few clouds
135,Chuy,UY,-33.6971,-53.4616,48.63,81,16,3.87,few clouds
136,Cherskiy,RU,68.75,161.3,66.02,39,71,16.84,broken clouds
137,Santa Rosa De Viterbo,BR,-21.4728,-47.3631,58.53,37,1,2.64,clear sky
138,Kiama,AU,-34.6833,150.8667,57.58,63,100,8.99,overcast clouds
139,Butaritari,KI,3.0707,172.7902,81.0,74,86,15.86,overcast clouds
140,Vila Velha,BR,-20.3297,-40.2925,71.55,64,75,9.22,broken clouds
141,Longyearbyen,SJ,78.2186,15.6401,49.84,81,75,3.44,broken clouds
142,Avarua,CK,-21.2078,-159.775,78.85,73,75,21.85,broken clouds
143,Nishihara,JP,26.1842,127.7558,82.06,92,75,5.75,light rain
144,Ponta Do Sol,PT,32.6667,-17.1,73.0,84,7,6.22,clear sky
145,Cidreira,BR,-30.1811,-50.2056,53.89,80,0,6.08,clear sky
146,Qaanaaq,GL,77.484,-69.3632,44.78,61,24,2.35,few clouds
147,Ixtapa,MX,20.7,-105.2,87.03,66,40,8.05,scattered clouds
148,Clyde River,CA,70.4692,-68.5914,37.63,100,100,11.5,light rain
149,Maceio,BR,-9.6658,-35.7353,76.44,88,75,4.61,broken clouds
150,Figeac,FR,44.75,1.9167,61.18,75,0,3.06,clear sky
151,Kavieng,PG,-2.5744,150.7967,84.99,63,88,11.01,overcast clouds
152,Panzhihua,CN,26.5851,101.7128,68.83,94,100,1.41,overcast clouds
153,Nogent-Le-Rotrou,FR,48.3333,1.0,61.65,91,6,4.25,clear sky
154,Pisco,PE,-13.7,-76.2167,61.02,82,0,12.66,clear sky
155,Carnarvon,AU,-24.8667,113.6333,61.52,52,4,17.9,clear sky
156,Faanui,PF,-16.4833,-151.75,79.23,70,10,22.62,light rain
157,Sakakah,SA,29.9697,40.2064,89.17,12,49,3.04,scattered clouds
158,Adrar,MR,20.5022,-10.0711,90.45,36,5,5.61,clear sky
159,Khasan,RU,42.4308,130.6434,75.65,89,100,3.98,overcast clouds
160,Lasa,IT,46.6166,10.7002,61.68,81,7,5.91,clear sky
161,Tongliao,CN,43.6125,122.2653,81.43,67,2,13.04,clear sky
162,Terrace Bay,CA,48.7834,-87.1,49.87,92,28,6.4,scattered clouds
163,Upernavik,GL,72.7868,-56.1549,44.85,82,100,4.52,overcast clouds
164,Leh,IN,34.1667,77.5833,60.12,62,11,8.03,few clouds
165,Grindavik,IS,63.8424,-22.4338,49.95,87,75,6.91,broken clouds
166,Saint-Augustin,CA,51.226,-58.6502,61.97,83,21,9.64,few clouds
167,Lagoa,PT,39.05,-27.9833,72.59,71,0,5.97,clear sky
168,Upata,VE,8.0086,-62.3989,75.2,97,100,3.76,overcast clouds
169,Sayyan,YE,15.1718,44.3244,58.24,80,100,4.81,overcast clouds
170,Erzin,TR,36.9559,36.2,73.35,71,1,1.77,clear sky
171,Tessalit,ML,20.1986,1.0114,88.23,36,85,15.37,overcast clouds
172,Saint-Max,FR,48.7043,6.21,69.35,67,0,8.05,clear sky
173,Puerto Ayora,EC,-0.7393,-90.3518,71.55,89,60,5.01,broken clouds
174,Auki,SB,-8.7676,160.7034,86.65,59,39,4.23,scattered clouds
175,Vestmanna,FO,62.1564,-7.1664,47.32,87,75,5.75,broken clouds
176,Marawi,PH,7.9986,124.2928,75.15,84,100,0.87,overcast clouds
177,Bonavista,CA,48.6499,-53.1147,62.56,93,100,15.48,overcast clouds
178,Aksarayskiy,RU,46.7924,48.0119,76.84,53,9,6.6,clear sky
179,Huanan,CN,46.2167,130.5167,79.3,74,100,7.09,overcast clouds
180,Nanortalik,GL,60.1432,-45.2371,44.17,89,94,3.74,overcast clouds
181,Mandurah,AU,-32.55,115.7,58.15,63,84,7.49,broken clouds
182,Biak,ID,-0.9131,122.8766,78.84,84,94,5.21,overcast clouds
183,Saposoa,PE,-6.934,-76.7716,73.38,76,12,3.29,few clouds
184,Mayo,US,38.8876,-76.5119,82.81,74,0,3.44,clear sky
185,Salinopolis,BR,-0.6136,-47.3561,78.6,85,100,9.91,overcast clouds
186,Vao,NC,-22.6667,167.4833,67.73,74,99,26.4,overcast clouds
187,Kaele,CM,10.1092,14.4508,71.24,89,100,5.3,overcast clouds
188,Whitehorse,CA,60.7161,-135.0538,73.02,41,75,13.8,broken clouds
189,Santa Maria,BR,-29.6842,-53.8069,49.3,100,0,2.3,clear sky
190,Saint George,US,37.1041,-113.5841,97.95,29,0,3.44,clear sky
191,Sobolevo,RU,54.4299,31.8996,52.52,84,44,4.09,scattered clouds
192,Tasiilaq,GL,65.6145,-37.6368,42.96,63,54,6.13,broken clouds
193,Mount Isa,AU,-20.7333,139.5,69.57,43,100,9.22,overcast clouds
194,Bredasdorp,ZA,-34.5322,20.0403,44.96,87,16,5.14,few clouds
195,Hervey Bay,AU,-25.2986,152.8535,68.02,71,97,3.0,overcast clouds
196,Richards Bay,ZA,-28.783,32.0377,60.94,90,16,3.87,few clouds
197,Douglas,US,41.3,-96.167,81.48,51,0,9.22,clear sky
198,Padang,ID,-0.9492,100.3543,75.25,76,17,3.47,few clouds
199,Klaksvik,FO,62.2266,-6.589,49.12,80,2,13.0,clear sky
200,Post Falls,US,47.718,-116.9516,102.76,14,0,6.91,clear sky
201,Komsomolskiy,UZ,40.4272,71.7189,79.52,38,100,4.61,overcast clouds
202,Mandalgovi,MN,45.7625,106.2708,73.02,27,95,8.86,overcast clouds
203,Bambous Virieux,MU,-20.3428,57.7575,70.21,88,75,13.8,light rain
204,Geraldton,AU,-28.7667,114.6,50.41,87,0,11.5,clear sky
205,Dzhebariki-Khaya,RU,62.2167,135.8,75.97,54,100,6.96,overcast clouds
206,Provideniya,RU,64.3833,-173.3,53.53,65,98,6.31,overcast clouds
207,Shimoda,JP,34.6667,138.95,91.11,71,0,12.48,clear sky
208,Lodja,CD,-3.4833,23.4333,73.65,67,29,2.44,scattered clouds
209,Kunhegyes,HU,47.3667,20.6333,67.98,85,9,11.07,clear sky
210,Harrison,US,30.4091,-89.0436,87.82,77,40,11.5,scattered clouds
211,Dandong,CN,40.1292,124.3947,76.73,94,100,1.34,overcast clouds
212,Krasnoselkup,RU,65.7,82.4667,50.11,67,0,22.97,clear sky
213,Cayenne,GF,4.9333,-52.3333,79.09,1,77,2.3,broken clouds
214,Chicontepec,MX,20.9667,-98.1667,71.47,79,96,5.28,overcast clouds
215,Birjand,IR,32.8663,59.2211,72.07,43,0,4.61,clear sky
216,Comodoro Rivadavia,AR,-45.8667,-67.5,42.66,52,0,9.22,clear sky
217,Luderitz,NA,-26.6481,15.1594,52.57,64,0,20.13,clear sky
218,Broken Hill,AU,-31.95,141.4333,57.2,38,100,15.14,light rain
219,Vila Franca Do Campo,PT,37.7167,-25.4333,70.21,84,21,5.23,few clouds
220,Sao Joao Da Barra,BR,-21.6403,-41.0511,65.01,70,0,8.21,clear sky
221,Naron,ES,43.5167,-8.1528,67.59,89,1,9.46,clear sky
222,Varkkallai,IN,8.7341,76.7067,76.78,94,60,6.26,broken clouds
223,Bawku,GH,11.0616,-0.2417,79.09,74,100,5.35,overcast clouds
224,The Valley,AI,18.217,-63.0578,84.06,83,31,21.47,scattered clouds
225,Bereznik,RU,62.8551,42.7072,52.66,96,0,2.08,clear sky
226,Lubango,AO,-14.9172,13.4925,54.16,51,0,4.63,clear sky
227,Yining,CN,29.0361,114.5636,84.22,73,10,1.05,clear sky
228,Zhanakorgan,KZ,43.9098,67.2495,71.56,50,0,7.92,clear sky
229,Zabol,AF,32.25,67.25,73.42,64,9,14.16,clear sky
230,Hualmay,PE,-11.0964,-77.6139,62.33,82,10,9.53,clear sky
231,Rivne,UA,50.6231,26.2274,64.47,65,100,9.62,overcast clouds
232,Kurikka,FI,62.6167,22.4167,54.03,82,90,4.43,overcast clouds
233,Chicama,PE,-7.8447,-79.1469,59.54,82,44,5.88,scattered clouds
234,Georgetown,MY,5.4112,100.3354,82.89,93,20,3.44,few clouds
235,Ishigaki,JP,24.3448,124.1572,84.33,89,75,4.61,light intensity shower rain
236,Ossora,RU,59.2353,163.0719,57.34,82,94,14.14,light rain
237,Ligayan,PH,4.6533,119.4706,82.96,74,100,5.39,overcast clouds
238,Storsteinnes,NO,69.2408,19.2344,51.39,71,99,5.48,overcast clouds
239,Sao Geraldo Do Araguaia,BR,-6.4006,-48.555,78.93,51,2,2.48,clear sky
240,Rocha,UY,-34.4833,-54.3333,47.1,83,100,4.21,overcast clouds
241,Homer,US,59.6425,-151.5483,59.04,94,100,8.05,overcast clouds
242,Shuyskoye,RU,59.3736,41.0305,51.35,96,22,3.15,few clouds
243,Rawson,AR,-43.3002,-65.1023,45.77,54,100,7.25,overcast clouds
244,Saravan,AM,39.7196,45.6483,59.72,79,9,6.15,clear sky
245,Chipoka,MW,-13.9933,34.5157,67.01,47,0,4.34,clear sky
246,Smithers,CA,54.7804,-127.1743,82.72,44,40,2.3,scattered clouds
247,Tiksi,RU,71.6872,128.8694,50.52,72,100,3.51,overcast clouds
248,Arman,RU,59.7,150.1667,54.73,95,100,5.88,light rain
249,Gazli,UZ,40.1333,63.45,80.76,31,0,8.39,clear sky
250,Gushikawa,JP,26.3544,127.8686,81.99,90,75,5.75,moderate rain
251,Stokmarknes,NO,68.5646,14.9108,48.18,93,0,2.3,clear sky
252,Manacapuru,BR,-3.2997,-60.6206,77.0,77,26,4.5,scattered clouds
253,Goroka,PG,-6.0834,145.3873,76.06,52,99,2.35,overcast clouds
254,Mareeba,AU,-17.0,145.4333,73.44,69,70,7.52,broken clouds
255,Eyl,SO,7.9803,49.8164,75.2,77,100,20.49,overcast clouds
256,Buribay,RU,51.9617,58.1592,62.4,69,100,5.84,overcast clouds
257,Tevaitoa,PF,-16.7833,-151.5,78.82,71,8,23.26,light rain
258,Zhigansk,RU,66.7697,123.3711,71.51,67,100,13.8,light rain
259,Lavrentiya,RU,65.5833,-171.0,48.29,71,100,4.59,overcast clouds
260,Fiumicino,IT,41.7675,12.2291,80.64,87,0,2.3,clear sky
261,Polessk,RU,54.862,21.1028,62.96,75,100,9.95,overcast clouds
262,Coquimbo,CL,-29.9533,-71.3436,55.13,94,75,5.75,broken clouds
263,Sukhumi,GE,43.0033,41.0153,71.22,90,66,3.31,broken clouds
264,Griffith,US,41.5284,-87.4237,78.89,63,0,4.61,clear sky
265,Bonthe,SL,7.5264,-12.505,75.49,77,39,6.62,scattered clouds
266,Tuatapere,NZ,-46.1333,167.6833,46.38,81,88,10.02,light rain
267,Bontang,ID,0.1333,117.5,75.33,94,100,8.19,light rain
268,Sharjah,AE,25.3573,55.4033,91.38,66,0,6.91,clear sky
269,Moa,CU,20.6569,-74.9403,80.35,82,5,11.77,clear sky
270,Terenos,BR,-20.4422,-54.8603,64.11,63,0,3.44,clear sky
271,Taltal,CL,-25.4,-70.4833,56.91,80,18,3.74,few clouds
272,Kondinskoye,RU,59.6481,67.41,62.22,86,93,7.2,light rain
273,North Bend,US,43.4065,-124.2243,80.24,94,100,9.22,overcast clouds
274,Tayu,ID,-6.5397,111.0518,80.02,70,100,7.74,overcast clouds
275,Ancud,CL,-41.8697,-73.8203,42.22,86,100,3.06,overcast clouds
276,Yurginskoye,RU,56.8189,67.3921,58.84,94,1,4.45,clear sky
277,Gawler,AU,-34.6,138.7333,53.11,89,100,11.27,overcast clouds
278,Esperance,AU,-33.8667,121.9,50.29,74,36,17.43,scattered clouds
